"zone_geo";"codgeo";"commune";"CFE_BASE_GFP_2020";"CFE_TAUX_REEL_GFP_2020";"CFE_TAUX_VOTE_GFP_2020";"CFE_PROD_GFP_2020";"CFE_BASE_GFP_2016";"CFE_TAUX_REEL_GFP_2016";"CFE_TAUX_VOTE_GFP_2016";"CFE_PROD_GFP_2016";"CFE_BASE_GFP_2015";"CFE_TAUX_REEL_GFP_2015";"CFE_PROD_AVEC_TX_VOTE";"CFE_BASE_TC2016TO2020";"CFE_PRODUIT_TC2016TO2020";"CVAE_GFP_2020";"CVAE_DUE_GFP_2020";"CVAE_DEG_GFP_2020";"CVAE_EXO_GFP_2020";"CVAE_GFP_2016";"CVAE_DUE_GFP_2016";"CVAE_DEG_GFP_2016";"TASCOM_2020";"TASCOM_OK_RQ";"TASCOM_GFP_2016";"FNB_BASE_GFP_2020";"FNB_TAUX_REEL_GFP_2020";"FNB_TAUX_VOTE_GFP_2020";"FNB_PROD_GFP_2020";"FNB_BASE_GFP_2016";"FNB_TAUX_REEL_GFP_2016";"FNB_TAUX_VOTE_GFP_2016";"FNB_PROD_GFP_2016";"TAFNB_BASE_GFP_2020";"TAFNB_TAUX_GFP_2020";"TAFNB_PROD_GFP_2020";"TAFNB_BASE_GFP_2016";"TAFNB_TAUX_GFP_2016";"TAFNB_PROD_GFP_2016";"FB_BASE_GFP_2020";"FB_TAUX_REEL_GFP_2020";"FB_TAUX_VOTE_GFP_2020";"FB_PROD_GFP_2020";"FB_BASE_GFP_2016";"FB_TAUX_REEL_GFP_2016";"FB_TAUX_VOTE_GFP_2016";"FB_PROD_GFP_2016";"TH_BASE_GFP_2020";"TH_TAUX_REEL_GFP_2020";"TH_TAUX_VOTE_GFP_2020";"TH_PROD_GFP_2020";"TH_BASE_GFP_2016";"TH_TAUX_REEL_GFP_2016";"TH_TAUX_VOTE_GFP_2016";"TH_PROD_GFP_2016";"IFER_2020";"IFER_RQ_2020";"IFER_2016";"IFER_RQ_2016";"DCTRTP_2020";"GIR_2020";"DCTRTP_2016";"GIR_2016";"POP_DGF";"POP_INSEE";"POP_OFGL_2019";"POP_OFGL_2016";"POTENTIEL_FINANCIER";"POTENTIEL_FINANCIER_PAR_HAB";"ECART_PF_MOYEN";"RATIO_PF";"AC";"RRF";"AC_RRF";"5pc_RFF";"5pc_RFF_represente_AC";"TEOM_2019";"LOGEMENTS_TH";"LOGEMENTS_SOCIAUX";"PART_LOGEMENT_SOCIAUX";"REVENU_IMPOSABLE";"REV_IMPOSABLE_PAR_HAB";"CVAE_2016";"CFE_TAUX_VOTE_2015";"Impact_AMP_sur_CFE";"NCOM";"Ecart_2011-2009";"Ecart_2011-2009_avec Tascom";"Total_2020";"Total2020_cor";"Compensation_reforme_TP"
"CA du Pays d'Aix en Provence (Capa)";13001;"Aix-en-Provence";76448076,00;28,70;31,02;22057993,00;66071445,00;27,11;31,02;17910414,00;66201074,00;26,79;20495362,24;15,71;23,16;21013169,00;16317397,00;4683528,00;12244,00;15995505,00;11931732,00;4063773,00;2027906,00;;1765033,00;1598743,00;2,21;2,78;34907,00;1501705,00;1,87;2,78;27560,00;1217990,00;20,23;246477,00;1126632,00;20,23;227920,00;233407648,00;1,00;2,59;2334308,00;212607716,00;0,20;2,59;425282,00;254139159,00;9,37;11,69;23819200,00;236595810,00;8,60;11,69;20347914,00;807093,00;"'2019+ecart connu entre 2020 et 2019";735906,00;"'2017-ecart connu entre 2017 et 2016";128369341,00;245717445,00;129240252,00;245793455,00;150455,00;145676,00;146385,00;145160,00;205986934,00;1369,09;8,20;108,20;46912103,00;188905126,30;24,83;9445256,32;20,13;24573956,00;75096,00;13573,00;18,07;2667765017,00;18313,00;15995505,00;26,79;3233753,60;"13001";1727135,41;3402394,41;46152638,00;42750243,59;-3402394,41
"CU de Marseille Provence Métropole (Mpm)";13002;"Allauch";3155300,00;31,93;31,02;1000813,00;2568218,00;32,46;31,02;833854,00;2602156,00;32,63;796661,22;22,86;20,02;608746,00;331196,00;277550,00;0,00;413813,00;164098,00;249715,00;58817,00;2019,00;;84895,00;3,38;2,78;2788,00;86008,00;3,63;2,78;3047,00;50703,00;20,23;10247,00;50384,00;20,23;10198,00;24977538,00;3,39;2,59;847145,00;22468956,00;3,78;2,59;849275,00;39965961,00;11,67;11,69;4664065,00;35905522,00;11,67;11,69;4190156,00;354562,00;"'2019+ecart connu entre 2020 et 2019";346105,00;"'2017-ecart connu entre 2017 et 2016";128369341,00;245717445,00;129240252,00;245793455,00;21612,00;21394,00;21484,00;21543,00;22366094,00;1034,89;-18,21;81,79;814898,00;23704704,73;3,44;1185235,24;100,00;2458374,00;9059,00;521,00;5,75;416138890,00;19451,20;413813,00;32,63;-50800,33;"13002";2286126,21;2321372,27;2033185,00;-288187,27;-2321372,27
"CA Salon Etang de Berre Durance (Agglopole Provence)";13003;"Alleins";284232,00;28,80;31,02;81375,00;262398,00;27,28;31,02;71574,00;236718,00;26,98;81395,86;8,32;13,69;39233,00;5905,00;33328,00;0,00;18563,00;1506,00;17057,00;0,00;;0,00;121331,00;2,80;2,78;3388,00;112720,00;2,76;2,78;3084,00;37788,00;20,23;7644,00;32666,00;20,23;6610,00;2465174,00;3,39;2,59;83383,00;2199376,00;3,78;2,59;83127,00;3831722,00;13,45;11,69;515364,00;3367125,00;14,03;11,69;472417,00;802,00;"'2019+ecart connu entre 2020 et 2019";6724,00;"'2017-ecart connu entre 2017 et 2016";128369341,00;245717445,00;129240252,00;245793455,00;2598,00;2562,00;2567,00;2493,00;3056231,00;1176,38;-7,03;92,97;855288,00;2648591,89;32,29;132429,59;15,48;258876,00;1144,00;125,00;10,93;43851565,00;17116,15;18563,00;26,98;11482,97;"13003";269993,53;269993,53;129054,00;-140939,53;-269993,53
"CA du Pays d'Aubagne et de l'Etoile (Capae)";13005;"Aubagne";26297472,00;32,87;31,02;8632034,00;26154087,00;34,02;31,02;8898087,00;25801614,00;34,33;8112997,79;0,55;-2,99;5337395,00;3697885,00;1639402,00;108,00;4770249,00;3318454,00;1451795,00;1523730,00;;1656187,00;323030,00;3,23;2,78;10290,00;271789,00;3,42;2,78;9189,00;158084,00;20,23;31971,00;112509,00;20,23;22760,00;66319952,00;1,00;2,59;664405,00;61620463,00;0,20;2,59;123648,00;67612229,00;9,70;11,69;6558393,00;63324758,00;9,04;11,69;5724468,00;252700,00;"'2019+ecart connu entre 2020 et 2019";225221,00;"'2017-ecart connu entre 2017 et 2016";128369341,00;245717445,00;129240252,00;245793455,00;47031,00;46621,00;45711,00;45779,00;56183185,00;1194,60;-5,59;94,41;12762022,00;68702032,31;18,58;3435101,62;26,92;6563260,00;20936,00;5268,00;25,16;690778254,00;14816,89;4770249,00;34,33;-870446,33;"13005";-7862490,33;-6346172,33;15777830,00;22124002,33;6346172,33
"CA du Pays d'Aubagne et de l'Etoile (Capae)";13007;"Auriol";2178227,00;32,87;31,02;715328,00;2044927,00;34,02;31,02;695837,00;2030463,00;34,33;634336,36;6,52;2,80;221708,00;86117,00;135591,00;0,00;183196,00;63959,00;119237,00;72456,00;;48484,00;113419,00;3,23;2,78;3599,00;107281,00;3,42;2,78;3621,00;46171,00;20,23;9345,00;42883,00;20,23;8672,00;11667721,00;1,00;2,59;116719,00;10362862,00;0,20;2,59;20779,00;17152748,00;11,06;11,69;1897086,00;15360697,00;10,85;11,69;1666671,00;67631,00;"'2019+ecart connu entre 2020 et 2019";62221,00;"'2017-ecart connu entre 2017 et 2016";128369341,00;245717445,00;129240252,00;245793455,00;12357,00;12084,00;11583,00;11495,00;10567451,00;855,18;-32,41;67,59;-130740,00;12367044,83;-1,06;618352,24;0,00;1195407,00;5274,00;425,00;8,06;211781744,00;17525,80;183196,00;34,33;-72099,31;"13007";814859,09;865150,16;1086468,00;221317,84;-865150,16
"CA Salon Etang de Berre Durance (Agglopole Provence)";13008;"Aurons";57313,00;28,80;31,02;16395,00;47201,00;27,28;31,02;12875,00;41658,00;26,98;14641,75;21,42;27,34;8140,00;4637,00;3503,00;0,00;71768,00;71768,00;0,00;0,00;;0,00;9617,00;2,80;2,78;262,00;9146,00;2,76;2,78;250,00;554,00;20,23;111,00;507,00;20,23;103,00;618344,00;3,39;2,59;20947,00;580454,00;3,78;2,59;21939,00;968435,00;11,85;11,69;114758,00;867519,00;11,90;11,69;103238,00;11052,00;"'2019+ecart connu entre 2020 et 2019";4428,00;"'2017-ecart connu entre 2017 et 2016";128369341,00;245717445,00;129240252,00;245793455,00;582,00;567,00;557,00;549,00;680758,00;1169,69;-7,56;92,44;194447,00;624076,93;31,16;31203,85;16,05;63087,00;242,00;0,00;0,00;11973093,00;21116,57;71768,00;26,98;2315,45;"13008";64556,17;64556,17;35698,00;-28858,17;-64556,17
"CA Salon Etang de Berre Durance (Agglopole Provence)";13009;"La Barben";107562,00;28,80;31,02;30968,00;125078,00;27,28;31,02;34115,00;113108,00;26,98;38799,20;-14,00;-9,22;14771,00;436,00;14335,00;0,00;26980,00;8272,00;18708,00;0,00;;0,00;28218,00;2,80;2,78;771,00;26215,00;2,76;2,78;705,00;2859,00;20,23;579,00;1910,00;20,23;388,00;887195,00;3,39;2,59;30056,00;801108,00;3,78;2,59;30277,00;1403678,00;13,23;11,69;185702,00;1261467,00;13,75;11,69;173455,00;17577,00;"'2019+ecart connu entre 2020 et 2019";15660,00;"'2017-ecart connu entre 2017 et 2016";128369341,00;245717445,00;129240252,00;245793455,00;887,00;878,00;879,00;786,00;919914,00;1037,11;-18,03;81,97;201613,00;972129,91;20,74;48606,50;24,11;90583,00;319,00;0,00;0,00;16216102,00;18469,36;26980,00;26,98;4345,50;"13009";23893,00;23893,00;63895,00;40002,00;-23893,00
"CA du Pays d'Aix en Provence (Capa)";13012;"Beaurecueil";126894,00;28,70;31,02;36302,00;129249,00;27,11;31,02;35032,00;124099,00;26,79;40093,04;-1,82;3,63;10903,00;3583,00;7320,00;0,00;10415,00;4507,00;5908,00;0,00;;0,00;10187,00;2,21;2,78;221,00;9740,00;1,87;2,78;168,00;2141,00;20,23;431,00;1965,00;20,23;397,00;913964,00;1,00;2,59;9145,00;797775,00;0,20;2,59;1596,00;1235240,00;10,64;11,69;131430,00;1199490,00;10,29;11,69;123427,00;9487,00;"'2019+ecart connu entre 2020 et 2019";8100,00;"'2017-ecart connu entre 2017 et 2016";128369341,00;245717445,00;129240252,00;245793455,00;659,00;636,00;630,00;582,00;895138,00;1358,33;7,35;107,35;277325,00;730402,21;37,97;36520,11;13,17;91505,00;231,00;0,00;0,00;15492611,00;24359,45;10415,00;26,79;5367,62;"13012";111264,00;111264,00;57123,00;-54141,00;-111264,00
"CA du Pays d'Aubagne et de l'Etoile (Capae)";13013;"Belcodène";455075,00;32,87;31,02;149347,00;444615,00;34,02;31,02;151284,00;396462,00;34,33;137919,57;2,35;-1,28;26492,00;7165,00;19327,00;0,00;27460,00;8824,00;18636,00;0,00;;0,00;11484,00;3,23;2,78;351,00;11720,00;3,42;2,78;379,00;6722,00;20,23;1359,00;7095,00;20,23;1432,00;1779816,00;1,00;2,59;17796,00;1586472,00;0,20;2,59;3188,00;2884459,00;10,57;11,69;304880,00;2578720,00;10,20;11,69;263038,00;9088,00;"'2019+ecart connu entre 2020 et 2019";8795,00;"'2017-ecart connu entre 2017 et 2016";128369341,00;245717445,00;129240252,00;245793455,00;1962,00;1932,00;1937,00;1900,00;1635992,00;833,84;-34,10;65,90;19638,00;1703783,63;1,15;85189,18;100,00;181189,00;723,00;0,00;0,00;34405622,00;17808,29;27460,00;34,33;-15062,98;"13013";239149,00;239149,00;186286,00;-52863,00;-239149,00
"CA Salon Etang de Berre Durance (Agglopole Provence)";13014;"Berre-l'Étang";21724883,00;28,80;31,02;6270702,00;20272046,00;27,28;31,02;5530182,00;23636353,00;26,98;6288388,67;7,17;13,39;1399875,00;1211041,00;187801,00;1033,00;1430263,00;1252962,00;177301,00;39813,00;;;388530,00;2,80;2,78;10821,00;365854,00;2,76;2,78;10044,00;122488,00;20,23;24780,00;110694,00;20,23;22398,00;25725844,00;3,39;2,59;869209,00;26728010,00;3,78;2,59;1010330,00;13033430,00;11,34;11,69;1477901,00;12348921,00;11,23;11,69;1386764,00;64628,00;"'2019+ecart connu entre 2020 et 2019";53102,00;"'2017-ecart connu entre 2017 et 2016";128369341,00;245717445,00;129240252,00;245793455,00;13621,00;13563,00;13594,00;14019,00;46010192,00;3377,89;166,97;266,97;34678238,00;45979128,64;75,42;2298956,43;6,63;1262626,00;5404,00;1347,00;24,93;160020929,00;11798,34;1430263,00;26,98;877685,27;"13014";-36305758,22;-36305758,22;7799798,00;44105556,22;36305758,22
