Periode;Total branches;Marchand non agricole;Industrie;Manuf;Services;Serv. pplt marchands;Serv. pplt non-marchands;Agriculture;Energie, eau, dechets;Industries agro-alimentaires;Cokefaction et raffinage;Biens d'equipement;Materiels de transport;Autres branches industrielles;Construction;Commerce;Transport;Hebergement-restauration;Information-communication;Services financiers;Services immobiliers;Services aux entreprises;Services non marchands;Services aux menages
2018M01;781910;778068;318099;294967;477668;305349;17699;3842;23132;56236;527;42488;48245;147471;154620;73374;105762;13371;7091;11195;2647;84883;17699;7026
2018M02;784938;781042;317926;294659;480995;306306;17879;3896;23267;56054;519;42558;48277;147251;156810;72902;105182;13220;7318;11384;2527;86737;17879;7037
2018M03;790596;786621;320969;297539;484629;310571;18977;3976;23430;58202;547;42746;48798;147245;155081;74689;105696;13600;7474;11159;2518;87984;18977;7452
2018M04;800812;796570;323250;299413;492532;313918;19211;4241;23837;58393;523;42595;49078;148824;159402;75768;106120;12993;7488;11313;2505;90256;19211;7475
2018M05;789143;784616;317924;294126;486471;310184;19779;4527;23798;57443;519;42169;47863;146131;156508;73208;104007;13766;7846;11547;2468;89946;19779;7396
2018M06;779201;775154;313164;289778;481872;306874;19883;4047;23386;56556;504;41237;47503;143977;155115;71752;102111;13912;7501;11355;2510;90153;19883;7579
2018M07;764295;760519;305466;282468;474788;302457;19734;3776;22997;55184;518;39822;46526;140418;152596;71242;99294;13526;7350;11541;2444;89389;19734;7670
2018M08;776724;772528;310420;286961;481554;306902;19446;4195;23459;56189;521;40837;46867;142547;155206;71757;100394;13749;7427;11593;2416;92045;19446;7520
2018M09;779194;775135;307114;283232;487512;308433;19492;4060;23883;56447;532;39810;46072;140370;159587;72557;100243;14265;7457;11311;2449;92570;19492;7582
2018M10;779707;775827;305266;281576;490693;308476;20133;3880;23690;56508;540;38925;45618;139986;162084;73745;98627;14338;7367;11118;2425;93471;20133;7386
2018M11;781362;777488;304218;280854;492950;310102;19680;3874;23365;56951;545;38421;45522;139414;163168;73759;99032;14141;7423;11285;2461;94673;19680;7330
2018M12;769632;765638;301022;277132;485160;305983;20545;3994;23890;56758;521;37866;45378;136610;158633;73849;95368;13813;7437;11040;2414;94671;20545;7390
2019M01;783049;779340;306724;282460;492283;309395;19667;3709;24263;58082;514;38111;46354;139399;163222;73314;99340;14128;7528;11126;2331;94955;19667;6674
2019M02;787293;783510;306644;282773;497086;310765;20220;3783;23871;58021;514;37766;47025;139448;166101;73378;99210;14361;7425;10554;2335;96195;20220;7307
2019M03;775320;771439;301221;277517;491026;305523;20808;3881;23704;56224;506;36991;45786;138010;164695;72175;95804;13792;7688;10668;2472;95846;20808;7079
2019M04;766025;762307;296081;272536;487953;307158;21728;3718;23546;56184;492;36144;45367;134349;159067;72743;96453;14585;7517;10474;2493;95274;21728;7619
2019M05;768371;764765;295354;272002;491416;308312;22006;3607;23352;54512;489;35876;45774;135350;161098;71477;96459;14745;7744;10546;2532;97549;22006;7260
2019M06;771857;768114;293453;270459;496155;313019;21494;3744;22994;56788;486;35133;44603;133449;161642;73073;98911;14705;7567;10594;2438;98695;21494;7037
2019M07;761906;758179;289892;267075;490346;309599;22060;3727;22817;55673;478;34572;44278;132075;158688;70160;97271;14090;7555;11239;2391;99665;22060;7227
2019M08;762441;758928;289972;267014;491163;316032;22207;3514;22958;55982;499;34348;42671;133514;152924;72208;99047;14445;7786;11357;2455;101913;22207;6820
2019M09;768893;765152;286502;263258;500551;316645;21901;3741;23245;56431;474;33641;41603;131109;162005;72651;99052;14196;7623;9920;2378;103956;21901;6869
2019M10;761642;757933;281692;258572;498801;313942;22560;3709;23120;56005;472;33039;40262;128795;162299;71969;99452;14175;7567;9603;2308;101862;22560;7006
2019M11;771364;767703;282810;259612;507209;322272;22317;3661;23198;57320;451;32929;39693;129219;162620;74370;102787;14856;7865;9771;2434;103066;22317;7122
2019M12;764174;760411;280710;257253;502608;321512;22908;3764;23456;57062;486;33053;38943;127709;158189;73119;103786;13687;7711;9578;2480;104020;22908;7131
2020M01;772254;768533;282158;258698;508362;318975;21987;3722;23459;56045;474;33107;38378;130694;167400;73343;100704;14332;7819;9217;2459;104067;21987;7035
2020M02;771278;767664;282517;258690;507843;321048;22697;3615;23827;56949;467;32781;38399;130094;164098;73937;101011;14613;7716;9522;2415;104838;22697;6996
2020M03;451799;449299;167045;151509;300654;219549;18400;2500;15536;46222;401;18290;21997;64598;62706;48541;65186;2667;5448;7110;1521;85555;18400;3521
2020M04;348075;345407;137735;125525;223692;180875;16020;2668;12210;42749;338;14407;16284;51748;26797;38310;57170;1834;4121;5432;1240;70498;16020;2269
2020M05;490414;487083;170602;153915;334095;230293;17613;3331;16687;47471;420;18439;18779;68806;86189;52849;78708;1435;4827;5719;1610;81926;17613;3217
2020M06;557321;554085;191062;172043;383728;246587;20705;3237;19019;49009;434;21564;20308;80728;116436;56386;84097;2580;5423;6123;1947;86055;20705;3976
2020M07;613185;609712;206008;186314;425670;272215;21966;3473;19695;51282;419;23323;21337;89951;131489;64392;91343;5767;5895;7376;2137;90338;21966;4966
2020M08;664344;659977;229591;208756;454442;288801;24055;4367;20835;53424;438;25611;26619;102665;141586;69288;97738;6317;6309;7823;2163;93462;24055;5700
2020M09;683729;680003;242946;221231;462931;293270;25873;3726;21714;55532;441;27305;29028;108925;143788;69831;102423;6454;6593;7459;2078;92622;25873;5810
